,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,ZONA
1625,00-13-8395-46,01-405,GUATEMALA,CIUDAD CAPITAL,ESCUELA NACIONAL DE CIENCIAS COMERCIALES PRIMERO DE JULIO DE 1823,7A. AV. 5-80,55318425,BLANCA SARAI GUTIERREZ PINEDA,GLADYS MAGDALENA JUAREZ JIMENEZ DE ROSALES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 13
1626,00-13-8402-46,01-501,GUATEMALA,CIUDAD CAPITAL,CENTRO DE EDUCACION CREATIVA TOSCANA,15 AVENIDA 19-52,23326867,JULIO JACOBO GIL URBINA,VIVIAN GERTRUDIS MEJIA MARIN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 13
1627,00-13-8703-46,01-501,GUATEMALA,CIUDAD CAPITAL,COLEGIO HEBRON,"9A. AV. 28-98 COLONIA SANTA FE, INTERIOR 1, ZONA 13 CIUDAD DE GUATEMALA DEL MUNICIPIO DE GUATEMALA",22682909,JULIO JACOBO GIL URBINA,FRANCISCO AGUILAR BERNARDO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,A DISTANCIA,GUATEMALA ORIENTE,ZONA 13
1628,00-13-8707-46,01-501,GUATEMALA,CIUDAD CAPITAL,CENTRO EDUCATIVO SAN JUDAS TADEO,13 AVENIDA B 26-45 COLONIA LA LIBERTAD,22908800,JULIO JACOBO GIL URBINA,DIEGO ARNOLDO GOMEZ OVANDO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 13
1629,00-13-9126-46,01-501,GUATEMALA,CIUDAD CAPITAL,ESCUELA EXPERIMENTAL CON ORIENTACION OCUPACIONAL VILLA DE LOS NINOS,5A. CALLE 5-90,22253700,JULIO JACOBO GIL URBINA,AURA MARINA CATU SIMON,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 13
1630,00-13-9278-46,01-501,GUATEMALA,CIUDAD CAPITAL,INSTITUTO DE TURISMO Y AVIACION (I.T.A.),"6A. AVENIDA 14-98, AURORA I",22613788,JULIO JACOBO GIL URBINA,DENICE KIMBERLY RODRIGUEZ CARMONA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 13
1631,00-13-9642-46,01-501,GUATEMALA,CIUDAD CAPITAL,CENTRO DE EDUCACION PERSONALIZADA CEP,15 AVENIDA A 20-51,23311723,JULIO JACOBO GIL URBINA,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 13
1632,00-13-9682-46,01-504,GUATEMALA,CIUDAD CAPITAL,INSTITUTO DE BACHILLERATO EN COMPUTACION -IBC-,6A. AVENIDA 0-20,24720829,DAVID SOTOJ SANCHEZ,FRANCISCO JAVIER GODOY VARGAS,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 13
1633,00-13-9797-46,99-001,GUATEMALA,CIUDAD CAPITAL,INSTITUTO MIXTO NOCTURNO FLAVIO HERRERA,ZONA 13,,SILVIA EUGENIA VALDEZ MONTERROSO DE CARBALLO,,DIVERSIFICADO,PRIVADO,URBANA,TEMPORAL TITULOS,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 13
1634,00-13-9820-46,01-501,GUATEMALA,CIUDAD CAPITAL,COLEGIO VILLA REAL DE OAKLAND,2A. CALLE 15-27,23603336,JULIO JACOBO GIL URBINA,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 13
1635,00-14-0009-46,01-501,GUATEMALA,CIUDAD CAPITAL,COLEGIO HAN AL AMERICANO,9A. CALLE 28-74,23661600,JULIO JACOBO GIL URBINA,BRENDA ZIMERI,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 14
1636,00-14-0011-46,01-501,GUATEMALA,CIUDAD CAPITAL,COLEGIO LA VILLA DEL SABER,14 AVENIDA 8-08,23683183,JULIO JACOBO GIL URBINA,ROSSANA MARIBEL HERNANDEZ LOPEZ DE GONZALEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 14
1637,00-14-0014-46,01-637,GUATEMALA,CIUDAD CAPITAL,"CENTRO EDUCATIVO DE ANACAFE, FUNCAFE","5A. CALLE 0-50 ZONA 14 GUATEMALA , GUATEMALA",42205813,JOSUE VINICIO ROMERO REYES,LIC. ARNELIO AGUILAR HERNANDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA ORIENTE,ZONA 14
1638,00-14-0017-46,01-501,GUATEMALA,CIUDAD CAPITAL,CENTRO DE EDUCACION CREATIVA TOSCANA,2 AVENIDA 12-05 ZONA 14 GUATEMALA,43441119,JULIO JACOBO GIL URBINA,VIVIAN GERTRUDIS MARIN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 14
1639,00-14-4455-46,01-501,GUATEMALA,CIUDAD CAPITAL,COLEGIO CRISTIANO BILINGUE EL SHADDAI,4A. CALLE 23-03,23371274,JULIO JACOBO GIL URBINA,OSCAR ALFREDO GARCIA MELGAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 14
1640,00-14-7382-46,,GUATEMALA,CIUDAD CAPITAL,CENTRO EDUCATIVO CRISTIANO,21 AV. 3-35 ZONA 14,23681075,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 14
1641,00-14-8724-46,01-501,GUATEMALA,CIUDAD CAPITAL,LICEO CRISTIANO LA SABIDURIA,26 AV. 10-10,23665549,JULIO JACOBO GIL URBINA,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 14
1642,00-14-8726-46,01-501,GUATEMALA,CIUDAD CAPITAL,LICEO CRISTIANO LA SABIDURIA,26 AV. 10-10,23665549,JULIO JACOBO GIL URBINA,LUIS ALBERTO ORDONEZ ARIAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 14
1643,00-14-8729-46,01-405,GUATEMALA,CIUDAD CAPITAL,LICEO CRISTIANO 'LA SABIDURIA',26 AV. 10-10,23665549,BLANCA SARAI GUTIERREZ PINEDA,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA ORIENTE,ZONA 14
1644,00-14-8847-46,01-504,GUATEMALA,CIUDAD CAPITAL,COLEGIO SAN INIGO,4AV. 21-63 ZONA 14,23682830,DAVID SOTOJ SANCHEZ,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 14
1645,00-14-8943-46,01-502,GUATEMALA,CIUDAD CAPITAL,COLEGIO HERALDO DEL EVANGELIO,6A. AV. 1-60,23680708,JULIA ENECON ROCA MORAN,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 14
1646,00-14-8945-46,,GUATEMALA,CIUDAD CAPITAL,COLEGIO HERALDO DEL EVANGELIO,6A. AV. 1-60,3680708-,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA ORIENTE,ZONA 14
1647,00-14-8951-46,01-504,GUATEMALA,CIUDAD CAPITAL,COLEGIO PROGRAMA EDUCATIVO SANTANDER,3A. AV. 17-52,23632198,DAVID SOTOJ SANCHEZ,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 14
1648,00-15-0010-46,01-314,GUATEMALA,CIUDAD CAPITAL,COLEGIO ALTAMIRA,"1ERA.CALLE 20-55 ZONA 15 VISTA HERMOSA II GUATEMALA, GUATEMALA",23690752,PLINIO IVAN HERNANDEZ,ALBA MARICELA JOR PORTILLO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 15
1649,00-15-0012-46,01-637,GUATEMALA,CIUDAD CAPITAL,"CENTRO DE EDUCACION EXTRAESCOLAR CEEX "" EDUCANDO MI PAIS """,24A. A 3-48 VISTA HERMOSA 1 ZONA 15 GUATEMALA,22975300,JOSUE VINICIO ROMERO REYES,JULIETA MARIBEL LOPEZ SIERRA DE FRANCO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,GUATEMALA ORIENTE,ZONA 15
1650,00-15-0981-46,01-504,GUATEMALA,CIUDAD CAPITAL,ESCUELA NORMAL DE MAESTRAS PARA PARVULOS ALFREDO CARRILLO RAMIREZ,2A CALLE 16-23 BOULEVARD VISTA HERMOSA I,23692417,DAVID SOTOJ SANCHEZ,ALVARO RENE VILLACINDA LUX,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 15
1651,00-15-0983-46,01-314,GUATEMALA,CIUDAD CAPITAL,"INSTITUTO "" BETHANIA """,3A CALLE 23-41 VISTA HERMOSA I,23691872,PLINIO IVAN HERNANDEZ,SOR MILVIAN CARIDAD MOLINA DE PAZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 15
1652,00-15-0985-46,01-314,GUATEMALA,CIUDAD CAPITAL,COLEGIO BILINGUE VISTA HERMOSA,15 AVE. 5-50 VISTA HERMOSA III,22475757,PLINIO IVAN HERNANDEZ,OSCAR VINICIO MUNOZ CONTRERAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 15
1653,00-15-0987-46,01-314,GUATEMALA,CIUDAD CAPITAL,COLEGIO VALLE VERDE,15 AVE. 3-80 ZONA 15,23131080,PLINIO IVAN HERNANDEZ,ANA LIZETH GARCIA ZAMBRANO DE CABRERA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 15
1654,00-15-0988-46,01-314,GUATEMALA,CIUDAD CAPITAL,COLEGIO AMERICANO DE GUATEMALA,11 CALLE 15-79 VISTA HERMOSA III,25009595,PLINIO IVAN HERNANDEZ,MARIA TERESA DEL VALLE QUEZADA DE CHACON,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 15
1655,00-15-2390-46,01-505,GUATEMALA,CIUDAD CAPITAL,COLEGIO POOLE TRENNERT,BOULEVAR VISTA HERMOSA 23-31 COLONIA VISTA HERMOSA I,23692024,MARIA TERESA MILIAN AVILES,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 15
1656,00-15-8285-46,01-503,GUATEMALA,CIUDAD CAPITAL,COLEGIO CARL ROGERS,0 CALLE 18-40 VISTA HERMOSA II,23691565,MARIA TERESA MILIAN AVILES,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 15
1657,00-15-9162-46,01-644,GUATEMALA,CIUDAD CAPITAL,COLEGIO SINIBALDI,"8A. AVENIDA 17-19, COLONIA EL MAESTRO",24847817,LIGIA DEL ROSARIO RICCI VELASQUEZ,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 15
1658,00-15-9304-46,01-314,GUATEMALA,CIUDAD CAPITAL,CENTRO EDUCATIVO TERRA NOVA,21 AV. 3-36 VISTA HERMOSA 1,23691085,PLINIO IVAN HERNANDEZ,ANA KRISTINA FERNANDEZ RIVERA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 15
1659,00-16-0004-46,01-509,GUATEMALA,CIUDAD CAPITAL,LICEO CENTROAMERICANO,"4A. CALLE 1-24, SANTA ROSITA",22559541,MARIA ELENA LACAN HUITZ DE DE LA CRUZ,DORA LEONOR URRUTIA MORALES DE MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 16
1660,00-16-0005-46,01-101,GUATEMALA,CIUDAD CAPITAL,"ESCUELA EXPERIMENTAL DE APLICACION ""MIRON MUNOZ""",ZONA 16,,MARIA ESTELA MARROQUIN CHUR DE ORTEGA,,DIVERSIFICADO,PRIVADO,URBANA,TEMPORAL TITULOS,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 16
1661,00-16-0006-46,01-509,GUATEMALA,CIUDAD CAPITAL,COLEGIO GUATEMALTECO BILINGUE,0 AVENIDA 0-00 BOULEVARD ACATAN,22559540,MARIA ELENA LACAN HUITZ DE DE LA CRUZ,FABIOLA LORENA REBECA ARIAS FERNANDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 16
1662,00-16-0016-46,01-503,GUATEMALA,CIUDAD CAPITAL,COLEGIO LOS ANGELES,"FINCA EL PULTE, SANTA ROSITA",55210419,MARIA TERESA MILIAN AVILES,ANA ELIZABETH ZEPEDA ZAMORA DE ESQUINA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 16
1663,00-16-0017-46,01-645,GUATEMALA,CIUDAD CAPITAL,"INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA ""SANTA ROSITA""",4A. AVENIDA 05-72 COLONIA SANTA ROSITA,22559038,ALBA MARICELA JOR PORTILLO,LUIS FELIPE OLIVA TORRES,DIVERSIFICADO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 16
1664,00-16-0020-46,01-509,GUATEMALA,CIUDAD CAPITAL,CENTRO EDUCATIVO DE ALTO RENDIMIENTO,BOULEVAR RAFAEL LANDIIVAR 10-05 ZONA 16 CENTRO COMERCIAL PASEO CAYALA GUATEMALA,24938550,MARIA ELENA LACAN HUITZ DE DE LA CRUZ,PEM. BETTY CONSUELO GARCIA BERNAL DE CASTANEDA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,SEMIPRESENCIAL,GUATEMALA ORIENTE,ZONA 16
1665,00-16-0770-46,01-509,GUATEMALA,CIUDAD CAPITAL,COLEGIO VON HUMBOLDT,"27 AVENIDA 15-00, JARDINES DE SAN ISIDRO.",23653706,MARIA ELENA LACAN HUITZ DE DE LA CRUZ,ANA ELIZABETH LAZO CIFUENTES DE RODRIGUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 16
1666,00-16-0998-46,01-509,GUATEMALA,CIUDAD CAPITAL,COLEGIO INTERAMERICANO,"11 AVENIDA 06-75, INTERIOR 1, ZONA 16 GUATEMALA",22002990,MARIA ELENA LACAN HUITZ DE DE LA CRUZ,MARIA VICTORIA PIRA MARTINEZ DE QUINONEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 16
1667,00-16-0999-46,01-508,GUATEMALA,CIUDAD CAPITAL,INSTITUTO AUSTRIACO GUATEMALTECO,BOULEVARD AUSTRIACO 23-90,23091900,MANUEL MARIA CANO CASTRO,MONICA GARCIA GONZALEZ DE GAVARRETE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 16
1668,00-16-7197-46,01-509,GUATEMALA,CIUDAD CAPITAL,COLEGIO BILINGUE LOURDES,1A. CALLE 9-21 COLONIA LOURDES,22565336,MARIA ELENA LACAN HUITZ DE DE LA CRUZ,LUISA FERNANDA ALVARADO ARRIAGA DE QUEZADA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 16
1669,00-16-7773-46,01-508,GUATEMALA,CIUDAD CAPITAL,COLEGIO EL SAGRADO CORAZON DE JESUS,27 CALLE 12-69 ACATAN,23273232,MANUEL MARIA CANO CASTRO,CATALINA FLORIS NOGUE DE GONZALEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 16
1670,00-16-8290-46,01-509,GUATEMALA,CIUDAD CAPITAL,COLEGIO CRISTIANO BILINGUE EL SHADDAI,COLONIA KANAJUYU ALDEA SAN GASPAR,23338854,MARIA ELENA LACAN HUITZ DE DE LA CRUZ,MARIA LUISA ORTIZ DE FLORES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 16
1671,00-16-8611-46,01-505,GUATEMALA,CIUDAD CAPITAL,CENTRO ACADEMICO SANTA VICTORIA,1AV. 2-27 CALLE REAL CONCEPCION LAS LOMAS,23640260,MARIA TERESA MILIAN AVILES,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 16
1672,00-16-8858-46,01-403,GUATEMALA,CIUDAD CAPITAL,COLEGIO INTEGRADO DE COMPUTACION 'LA ASUNCION',1A. AVENIDA 2-27 CONCEPCION LAS LOMAS,23640260,CARLOS HUMBERTO GONZALEZ DE LEON,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 16
1673,00-16-9364-46,01-508,GUATEMALA,CIUDAD CAPITAL,COLEGIO SUIZO AMERICANO,"12 CALLE 16-02, ACATAN",23798181,MANUEL MARIA CANO CASTRO,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 16
1674,00-16-9537-46,01-508,GUATEMALA,CIUDAD CAPITAL,COLEGIO VIENA GUATEMALTECO,20 AVENIDA 20-45,23239191,MANUEL MARIA CANO CASTRO,JUAN PABLO SOLIS ROSSELL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 16
1675,00-16-9558-46,01-509,GUATEMALA,CIUDAD CAPITAL,CENTRO EDUCATIVO APARICIO,12A. AVENIDA Y 4A. CALLE #86 ALDEA ACATAN,22611359,MARIA ELENA LACAN HUITZ DE DE LA CRUZ,ENMA LORENA RUANO GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 16
1676,00-16-9704-46,01-313,GUATEMALA,CIUDAD CAPITAL,COLEGIO EXPERIMENTAL CRISTIANO VERBO NO. 1,DIAGONAL 34 (CALLE REAL ACATAN) 31-43,22142424,ERICK GUILLERMO SANCHEZ MARTINEZ,MAVICK JULISSA MARIN LARIOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ZONA 16
1677,00-17-0011-46,01-106,GUATEMALA,CIUDAD CAPITAL,CENTRO EDUCATIVO DE INFORMATICA SINAI,MANZANA 33 LOTE 6 CANTON CENTRAL ALDEA CANALITOS,22584390,CESAR ARNOLDO MARTINEZ GARCIA,MIRIAM MENDEZ VASQUEZ DE CARIAS,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE,ZONA 17
1678,00-17-0014-46,01-105,GUATEMALA,CIUDAD CAPITAL,CENTRO EDUCATIVO DE INFORMATICA SINAI,"MANZANA 33 LOTE 6, CANTON CENTRAL, ALDEA CANALITOS",22584390,SANTOS VICTORINO VASQUEZ PAXTOR,MIRIAM MENDEZ VASQUEZ DE CARIAS,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 17
1679,00-17-0022-46,01-105,GUATEMALA,CIUDAD CAPITAL,COLEGIO MONTANO PORTAL LOS ALAMOS,13 CALLE 3-05,23000900,SANTOS VICTORINO VASQUEZ PAXTOR,WHENDOLYN BETZABE ESTRADA CANIZALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 17
1680,00-17-0023-46,01-105,GUATEMALA,CIUDAD CAPITAL,COLEGIO PANAMERICANO,"PLAZA NOR-ORIENTE CA-9 NORTE RUTA AL ATLANTICO 06-96, 4TO. NIVEL",22028888,SANTOS VICTORINO VASQUEZ PAXTOR,DELFINA MARISOL PAZOS RAMOS DE AYALA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 17
1681,00-17-0028-46,01-105,GUATEMALA,CIUDAD CAPITAL,COLEGIO PANAMERICANO,PLAZA NOR-ORIENTE CA-9 NORTE RUTA AL ATLANTICO 06-96 4TO. NIVEL,22028888,SANTOS VICTORINO VASQUEZ PAXTOR,DELFINA MARISOL PAZOS RAMOS DE AYALA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 17
1682,00-17-0038-46,01-105,GUATEMALA,CIUDAD CAPITAL,LICEO CRISTIANO ROCA DE AYUDA,"1A. CALLE 1-40, SABANA ARRIBA",22612406,SANTOS VICTORINO VASQUEZ PAXTOR,MONICA LUCRECIA RODAS HURTARTE DE TEJEDA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 17
1683,00-17-0041-46,01-105,GUATEMALA,CIUDAD CAPITAL,LICEO CRISTIANO ROCA DE AYUDA,1RA. CALLE 1-40 SABANA ARRIBA,22612400,SANTOS VICTORINO VASQUEZ PAXTOR,MONICA LUCRECIA RODAS HURTARTE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,VIRTUAL A DISTANCIA,GUATEMALA NORTE,ZONA 17
1684,00-17-0043-46,01-105,GUATEMALA,CIUDAD CAPITAL,CENTRO EDUCATIVO DEL NORTE,"12 AVENIDA ""A"" 11-63 FINCA VISTA HERMOSA, SECTOR LOMAS DEL NORTE",22552038,SANTOS VICTORINO VASQUEZ PAXTOR,AURA LETICIA MONTERROSO GUDIEL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 17
1685,00-17-0045-46,01-106,GUATEMALA,CIUDAD CAPITAL,CENTRO EDUCATIVO DE INFORMATICA SINAI,"MANZANA 33 LOTE 6, CANTON CENTRAL , ALDEA CANALIT0S",22584390,CESAR ARNOLDO MARTINEZ GARCIA,CARLOS HUMBERTO BARRIOS LOPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),GUATEMALA NORTE,ZONA 17
1686,00-17-4562-46,01-105,GUATEMALA,CIUDAD CAPITAL,COLEGIO MIXTO JUAN BAUTISTA ALBERDI,8 AVE. 9-77 RESIDENCIALES VISTALSUR,40950152,SANTOS VICTORINO VASQUEZ PAXTOR,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 17
1687,00-17-4748-46,01-106,GUATEMALA,CIUDAD CAPITAL,COLEGIO CONTINENTAL AMERICANO,RUTA AL ATLANTICO KM 9.5,22465700,CESAR ARNOLDO MARTINEZ GARCIA,CLAUDIA ELIZABETH RIZO REYES DE TRUJILLO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 17
1688,00-17-8771-46,01-105,GUATEMALA,CIUDAD CAPITAL,INSTITUTO PRIVADO DE VARONES Y ESCUELA PREPARATORIA ANEXA,13 AVENIDA 26-25 ACATAN,23273200,SANTOS VICTORINO VASQUEZ PAXTOR,DORA AMARILIS ESCOBAR DE QUINONEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 17
1689,00-17-8778-46,01-407,GUATEMALA,CIUDAD CAPITAL,COLEGIO MIXTO DEL PARQUE,"19 AVENIDA 'B' 10-69, COLONIA LOMAS DEL NORTE",22551241,CARLOS HUMBERTO GONZALEZ DE LEON,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,SABATINO,GUATEMALA NORTE,ZONA 17
